binding_site_name,enzyme_name,binding_site_ranking,mainclass,subclass,subsubclass,designation,atoms,dataset,dates,centers,uniq_fold,uniq_sub,uniq_subsub,uniq_designation
1,TopM_Q035U1,1,1,17,4,2,496,2021,18/02/2002,"(68.37, 69.557, 26.495)",3902,10,6,2345
1,TopM_Q03PB4,1,1,17,4,2,509,2021,18/02/2002,"(119.673, 76.963, -22.498)",3902,10,6,2345
1,TopM_Q5FMX8,1,1,17,4,2,517,2021,18/02/2002,"(92.745, 73.667, 9.46)",3902,10,6,2345
1,TopM_P90682,1,1,11,1,6,636,2021,15/03/2002,"(33.711, 1.504, 13.207)",155,73,90,1264
1,TopM_P79209,1,1,14,13,39,214,2021,23/07/2002,"(0.155, 7.481, 39.262)",2849,14,268,1892
1,TopM_A8GUW7,1,1,1,1,94,597,2021,17/10/2002,"(59.011, 40.544, 16.221)",3400,29,191,1166
1,TopM_Q1RH58,1,1,1,1,94,617,2021,17/10/2002,"(53.562, 12.938, 19.285)",3400,29,191,1166
1,TopM_Q48303,1,1,5,8,1,668,2021,11/12/2002,"(9.455, -37.452, 23.474)",1903,15,73,291
1,TopM_O19906,1,1,4,7,1,680,2021,14/04/2003,"(-3.206, 37.485, 19.117)",2678,42,137,2364
1,TopM_P95506,1,1,3,98,3,339,2021,13/08/2003,"(32.463, 62.009, 25.988)",2987,68,205,1874
1,TopM_Q4R568,1,1,1,1,37,599,2021,09/03/2004,"(25.148, 67.952, 79.285)",3691,29,191,1198
1,TopM_K0J107,1,1,1,1,37,636,2021,09/03/2004,"(23.978, 68.388, 79.25)",3691,29,191,1198
1,TopM_P40926,1,1,1,1,37,614,2021,09/03/2004,"(24.687, 59.397, 68.895)",3691,29,191,1198
1,TopM_P9WJQ2,1,1,7,5,1,694,2021,02/12/2004,"(-129.124, -49.318, -8.183)",3041,74,223,1863
1,TopM_P9WJQ3,1,1,7,5,1,687,2021,02/12/2004,"(-128.836, -45.109, -5.539)",3041,74,223,1863
1,TopM_P09152,1,1,7,5,1,688,2021,02/12/2004,"(-122.422, -15.055, 16.838)",3041,74,223,1863
1,TopM_Q50438,1,1,3,3,11,228,2021,23/03/2005,"(-24.776, -12.749, -22.518)",3711,68,255,637
1,TopM_Q0D1U6,1,1,13,11,6,668,2021,02/06/2005,"(36.711, 42.526, 15.348)",3389,72,207,2769
1,TopM_A1C408,1,1,13,11,6,639,2021,02/06/2005,"(67.039, 25.983, 22.64)",3389,72,207,2769
1,TopM_P0DI87,1,1,4,3,2,227,2021,18/10/2005,"(50.671, 76.4, 114.084)",1745,42,39,1514
1,TopM_P0C2D1,1,1,4,3,2,130,2021,27/09/2006,"(46.917, 84.528, 109.951)",1745,42,39,1514
1,TopM_A3LT66,1,1,6,2,2,319,2021,14/03/2007,"(18.091, 34.734, 13.148)",2912,28,156,879
1,TopM_Q6FUX5,1,1,6,2,2,343,2021,14/03/2007,"(16.641, 36.965, 11.711)",2912,28,156,879
1,TopM_P44094,1,1,1,1,410,521,2021,17/04/2007,"(30.588, 81.953, 0.436)",2480,29,191,445
1,TopM_Q7SFX6,1,1,5,1,7,600,2021,28/07/2007,"(4.357, 20.349, 3.57)",4378,15,45,538
1,TopM_Q09694,1,1,5,1,7,611,2021,28/07/2007,"(-4.444, 36.483, -9.067)",4378,15,45,538
1,TopM_Q870G1,1,1,5,1,7,597,2021,28/07/2007,"(-10.911, 27.248, -35.811)",4378,15,45,538
1,TopM_Q58MU6,1,1,3,7,6,604,2021,15/11/2007,"(7.586, -0.793, 22.076)",3854,68,13,1401
1,TopM_P34436,1,1,8,4,12,354,2021,24/04/2008,"(27.725, -16.809, 6.313)",2299,17,182,2037
1,TopM_P21864,1,1,17,7,4,465,2021,02/07/2008,"(38.5, 28.166, -2.894)",2021,10,36,255
1,TopM_O85674,1,1,14,12,1,701,2021,21/08/2008,"(-8.11, 6.778, 31.151)",3721,14,38,237
1,TopM_P07770,1,1,14,12,10,702,2021,21/08/2008,"(34.078, -0.952, 31.657)",3721,14,38,2888
1,TopM_Q51602,1,1,14,12,13,702,2021,21/08/2008,"(-7.292, 7.25, 26.471)",3721,14,38,2377
1,TopM_Q9A6B1,1,1,8,4,12,403,2021,05/09/2008,"(25.113, 43.668, 36.367)",595,17,182,2037
1,TopM_B8GY23,1,1,8,4,12,407,2021,05/09/2008,"(4.555, 30.76, 36.264)",595,17,182,2037
1,TopM_B2I8Y4,1,1,8,4,12,408,2021,05/09/2008,"(28.057, 45.861, 12.21)",595,17,182,2037
1,TopM_Q8X1D8,1,1,7,3,1,558,2021,21/11/2008,"(100.793, 50.679, 206.333)",491,74,232,2532
1,TopM_P09140,1,1,14,14,3,624,2021,05/12/2008,"(2.348, 15.242, 28.819)",1593,14,77,70
1,TopM_P19907,1,1,14,14,3,619,2021,05/12/2008,"(58.413, -4.635, 20.328)",1593,14,77,70
1,TopM_P29238,1,1,14,14,3,644,2021,05/12/2008,"(0.239, 15.492, 26.711)",1593,14,77,70
1,TopM_P14332,1,1,1,1,44,369,2021,20/01/2009,"(12.934, 32.254, 28.173)",1858,29,191,2863
1,TopM_O05616,1,1,14,13,82,687,2021,18/03/2009,"(64.355, 19.007, 34.496)",1818,14,268,313
1,TopM_P12609,1,1,14,13,82,305,2021,18/03/2009,"(48.255, -21.286, 34.939)",1818,14,268,313
1,TopM_P85433,1,1,11,1,7,136,2021,07/05/2009,"(3.095, 51.222, 16.104)",2944,73,90,128
1,TopM_Q25519,1,1,14,18,1,701,2021,17/05/2009,"(-28.781, 54.052, -48.746)",3422,14,145,698
1,TopM_Q27452,1,1,14,18,1,708,2021,17/05/2009,"(-25.926, 19.325, 21.875)",3422,14,145,698
1,TopM_O45903,1,1,3,1,104,501,2021,19/11/2009,"(18.209, 2.464, 57.271)",1181,68,113,1265
1,TopM_Q6C423,1,1,14,11,27,633,2021,29/11/2009,"(-25.06, -7.252, 20.428)",4094,14,9,2762
1,TopM_Q98QV3,1,1,5,1,5,487,2021,09/12/2009,"(26.842, -24.094, -39.395)",4909,15,45,183
1,TopM_Q8GR45,1,1,13,11,39,658,2021,29/01/2010,"(-4.745, 40.866, 22.194)",4306,72,207,1490
1,TopM_Q8ENX4,1,1,18,1,2,541,2021,02/03/2010,"(-14.153, -16.426, 28.551)",4474,31,111,738
1,TopM_B2AM55,1,1,7,3,1,531,2021,14/04/2010,"(84.327, 2.466, 77.339)",491,74,232,2532
1,TopM_D4GPK6,1,1,10,3,2,450,2021,21/07/2010,"(-21.414, 25.417, -39.875)",1560,38,61,1077
1,TopM_Q12737,1,1,3,3,5,579,2021,21/07/2010,"(-14.97, 5.857, -36.194)",1560,68,255,1967
1,TopM_A2RSX7,1,1,14,11,42,794,2021,26/07/2010,"(-64.471, 66.111, 3.564)",277,14,9,581
1,TopM_E1C7T6,1,1,14,11,42,774,2021,26/07/2010,"(-21.155, 60.792, 12.667)",277,14,9,581
1,TopM_Q08BV2,1,1,14,11,42,617,2021,26/07/2010,"(-58.172, 59.241, -0.48)",277,14,9,581
1,TopM_Q8GAK6,1,1,1,1,179,506,2021,02/09/2010,"(-0.915, 17.006, -26.155)",4492,29,191,2522
1,TopM_Q852M2,1,1,2,3,1,648,2021,27/08/2011,"(-54.858, -26.833, -37.295)",1013,20,143,625
1,TopM_Q7XH05,1,1,2,3,1,656,2021,27/08/2011,"(-11.958, -53.445, -43.962)",1013,20,143,625
1,TopM_O23887,1,1,2,3,7,623,2021,27/08/2011,"(9.311, -3.243, -64.647)",1013,20,143,1656
1,TopM_P0A9S4,1,1,1,1,251,538,2021,26/09/2011,"(41.786, 20.176, 18.722)",1656,29,191,1214
1,TopM_Q74HL7,1,1,5,1,36,557,2021,14/10/2011,"(38.22, 15.299, 39.395)",4210,15,45,2643
1,TopM_Q74HL8,1,1,5,1,36,511,2021,14/10/2011,"(32.167, 21.923, 42.661)",4210,15,45,2643
1,TopM_Q9AQ97,1,1,1,1,86,422,2021,11/11/2011,"(12.793, 33.294, 171.341)",4947,29,191,2724
1,TopM_Q9AQ96,1,1,1,1,86,390,2021,11/11/2011,"(4.491, 48.379, 160.721)",4947,29,191,2724
1,TopM_Q9AQ99,1,1,1,1,86,390,2021,11/11/2011,"(29.25, 50.411, 149.91)",4947,29,191,2724
1,TopM_P85430,1,1,10,3,2,116,2021,27/12/2011,"(1.156, -7.046, 38.073)",2943,38,61,1077
1,TopM_P35731,1,1,1,1,100,558,2021,26/05/2012,"(-25.6, 58.283, -3.579)",2320,29,191,2936
1,TopM_Q759G5,1,1,1,1,8,526,2021,05/06/2012,"(39.026, 12.087, 2.442)",2017,29,191,424
1,TopM_P41911,1,1,1,1,8,528,2021,05/06/2012,"(13.927, -19.729, -22.424)",2017,29,191,424
1,TopM_Q6FWJ7,1,1,1,1,8,515,2021,05/06/2012,"(38.832, 11.224, 1.126)",2017,29,191,424
1,TopM_Q8NJJ9,1,1,6,5,2,507,2021,08/08/2012,"(0.52, -4.499, 32.11)",1181,28,20,1192
1,TopM_Q975C8,1,1,3,1,84,496,2021,08/08/2012,"(26.79, 38.29, 70.046)",319,68,113,2597
1,TopM_Q6CIR6,1,1,3,1,104,413,2021,08/08/2012,"(-3.695, 20.579, 35.517)",1181,68,113,1265
1,TopM_Q07993,1,1,1,1,9,543,2021,08/08/2012,"(42.571, 28.086, 51.139)",3202,29,191,2894
1,TopM_A4YGN2,1,1,3,1,84,514,2021,08/08/2012,"(17.687, 33.643, 73.828)",319,68,113,2597
1,TopM_P33010,1,1,1,1,1,502,2021,08/08/2012,"(112.045, 12.12, 145.781)",2273,29,191,2286
1,TopM_Q54S02,1,1,13,11,6,740,2021,30/10/2012,"(-6.762, -36.998, 41.861)",3389,72,207,2769
1,TopM_P13702,1,1,1,1,88,130,2021,30/11/2012,"(91.743, 133.06, 141.254)",4452,29,191,409
1,TopM_O28538,1,1,1,1,34,219,2021,30/11/2012,"(88.167, 132.684, 138.2)",4452,29,191,2136
1,TopM_O27211,1,1,12,98,2,500,2021,07/03/2013,"(0.591, 13.731, 25.731)",3712,32,95,2502
1,TopM_P32440,1,1,12,98,2,494,2021,07/03/2013,"(0.838, 10.738, 24.177)",3712,32,95,2502
1,TopM_Q50758,1,1,12,98,2,501,2021,07/03/2013,"(1.06, 11.297, 27.56)",3712,32,95,2502
1,TopM_P13064,1,1,12,99,6,159,2021,09/05/2013,"(27.384, 12.187, 3.4)",1831,32,173,2281
1,TopM_Q8G907,1,1,1,99,38,667,2021,12/08/2013,"(-0.115, -25.192, 36.901)",4488,29,105,2222
1,TopM_Q50925,1,1,7,2,6,535,2021,08/10/2013,"(49.875, 50.975, 29.169)",3714,74,236,1472
1,TopM_Q5UY95,1,1,1,1,424,586,2021,09/10/2013,"(49.654, 30.878, -8.271)",4013,29,191,2278
1,TopM_D4GP29,1,1,1,1,424,571,2021,09/10/2013,"(50.184, 28.911, -5.687)",4013,29,191,2278
1,TopM_A8AGY5,1,1,5,1,50,570,2021,23/12/2013,"(-19.091, 73.564, 50.098)",1693,15,45,1590
1,TopM_P0AFS4,1,1,5,1,50,582,2021,23/12/2013,"(-15.476, 53.401, 3.77)",1693,15,45,1590
1,TopM_A7ZM66,1,1,5,1,50,561,2021,23/12/2013,"(11.838, 100.13, -8.687)",1693,15,45,1590
1,TopM_P79290,1,1,14,13,39,212,2021,02/05/2014,"(219.803, 27.294, 28.224)",2850,14,268,1892
1,TopM_Q9LQ04,1,1,1,1,133,524,2021,28/06/2014,"(-17.592, 1.313, -1.494)",5202,29,191,2263
1,TopM_P0A0R2,1,1,16,3,1,612,2021,21/07/2014,"(44.284, 72.485, 36.083)",2082,52,63,956
1,TopM_Q97FE0,1,1,11,1,6,702,2021,19/08/2014,"(-14.28, 1.758, -1.805)",4881,73,90,1264
1,TopM_P0A9S3,1,1,1,1,251,518,2021,18/12/2014,"(41.314, 19.575, 15.865)",1656,29,191,1214
1,TopM_P0AEY6,1,1,6,5,10,559,2021,19/01/2015,"(56.125, 31.566, -17.98)",2497,28,20,2175
1,TopM_P0AEY7,1,1,6,5,10,563,2021,19/01/2015,"(63.842, 44.933, -7.119)",2497,28,20,2175
1,TopM_P44803,1,1,6,5,10,584,2021,19/01/2015,"(51.003, 21.363, -16.812)",2497,28,20,2175
1,TopM_G0SGU4,1,1,17,1,9,677,2021,02/02/2015,"(-0.832, 6.177, -7.406)",3130,10,166,2058
1,TopM_Q07103,1,1,17,1,9,691,2021,02/02/2015,"(-6.045, 7.801, -8.657)",3130,10,166,2058
1,TopM_Q03134,1,1,17,1,9,702,2021,02/02/2015,"(-2.316, 12.32, -3.671)",3130,10,166,2058
1,TopM_Q82IY9,1,1,1,1,340,651,2021,17/02/2015,"(14.663, 72.717, 34.431)",752,29,191,821
1,TopM_Q5IW40,1,1,13,11,72,536,2021,17/02/2015,"(0.313, 27.641, -4.953)",3916,72,207,1530
1,TopM_E3VWK2,1,1,1,1,340,659,2021,17/02/2015,"(6.911, 53.635, 4.944)",752,29,191,821
1,TopM_E3VWI6,1,1,1,1,340,662,2021,17/02/2015,"(-5.643, 44.086, -0.12)",752,29,191,821
1,TopM_Q46871,1,1,16,1,9,426,2021,27/02/2015,"(29.079, 15.659, 78.115)",3618,52,188,795
1,TopM_Q6US81,1,1,14,19,5,524,2021,06/03/2015,"(-32.973, -15.191, 22.184)",4521,14,101,1283
1,TopM_O44390,1,1,14,19,5,626,2021,06/03/2015,"(26.816, 12.269, 31.14)",4521,14,101,1283
1,TopM_Q8ISS3,1,1,14,19,5,623,2021,06/03/2015,"(22.635, 14.306, 27.685)",4521,14,101,1283
1,TopM_Q27451,1,1,14,18,1,736,2021,25/03/2015,"(65.517, 61.023, 20.158)",3422,14,145,698
1,TopM_P31003,1,1,13,11,2,730,2021,06/04/2015,"(-9.497, -0.163, 5.327)",4306,72,207,655
1,TopM_Q877A8,1,1,11,1,6,716,2021,04/06/2015,"(12.289, -26.507, 20.395)",916,73,90,1264
1,TopM_Q9Y7C2,1,1,11,1,6,720,2021,04/06/2015,"(8.043, 33.268, 2.261)",916,73,90,1264
1,TopM_P55303,1,1,11,1,6,730,2021,04/06/2015,"(40.203, 57.339, -5.493)",916,73,90,1264
1,TopM_Q93KF3,1,1,8,4,11,384,2021,11/12/2015,"(24.884, 39.751, 47.379)",4800,17,182,886
1,TopM_O25011,1,1,8,4,11,407,2021,11/12/2015,"(27.217, 36.509, 52.564)",4800,17,182,886
1,TopM_P04841,1,1,1,3,13,691,2021,25/01/2016,"(58.407, -24.235, 204.239)",5521,29,47,2765
1,TopM_F2QY27,1,1,1,3,13,691,2021,25/01/2016,"(57.08, -29.855, 207.202)",5521,29,47,2765
1,TopM_Q9YA13,1,1,2,7,11,721,2021,01/04/2016,"(11.775, 35.358, 234.868)",4865,20,216,1464
1,TopM_Q96XT2,1,1,2,7,11,704,2021,01/04/2016,"(6.368, -55.994, 8.793)",4865,20,216,1464
1,TopM_P16331,1,1,14,16,1,715,2021,26/04/2016,"(53.483, 0.148, 45.459)",1932,14,161,365
1,TopM_P04176,1,1,14,16,1,719,2021,26/04/2016,"(41.889, -19.054, 54.213)",1932,14,161,365
1,TopM_P17276,1,1,14,16,1,642,2021,26/04/2016,"(-0.419, -0.845, 7.687)",1932,14,161,365
1,TopM_P77489,1,1,2,99,6,668,2021,25/05/2016,"(214.307, -104.901, 171.488)",4705,20,149,122
1,TopM_Q8X6J4,1,1,2,99,6,672,2021,25/05/2016,"(216.33, -102.684, 171.747)",4705,20,149,122
1,TopM_P15984,1,1,11,1,7,125,2021,14/11/2016,"(41.742, 51.795, 35.059)",1900,73,90,128
1,TopM_P85317,1,1,11,1,7,321,2021,14/11/2016,"(62.086, 42.765, 10.879)",2941,73,90,128
1,TopM_Q51603,1,1,18,1,3,511,2021,13/07/2017,"(96.645, 78.368, 149.855)",3722,31,111,1915
1,TopM_O85675,1,1,18,1,3,511,2021,13/07/2017,"(90.108, 77.486, 145.985)",3722,31,111,1915
1,TopM_D3JV03,1,1,3,8,12,468,2021,19/10/2017,"(-7.103, -34.855, -16.557)",695,68,183,1959
1,TopM_Q00234,1,1,14,18,1,755,2021,24/04/2018,"(80.339, -17.977, 9.124)",3091,14,145,698
1,TopM_P56998,1,1,16,3,1,604,2021,08/05/2018,"(46.632, 52.033, 39.827)",2082,52,63,956
1,TopM_P24602,1,1,16,3,1,656,2021,08/05/2018,"(50.65, 57.868, 35.977)",2082,52,63,956
1,TopM_P9WGE8,1,1,15,1,1,666,2021,01/08/2018,"(168.309, 193.275, 259.152)",3012,67,234,1494
1,TopM_Q9CBI6,1,1,15,1,1,262,2021,01/08/2018,"(172.249, 205.06, 279.436)",3012,67,234,1494
1,TopM_P0A609,1,1,15,1,1,128,2021,01/08/2018,"(176.165, 208.514, 279.892)",3012,67,234,1494
1,TopM_P46796,1,1,2,1,12,226,2021,09/01/2019,"(4.545, 10.278, 25.605)",2533,20,69,1284
1,TopM_O34294,1,2,5,1,3,577,2021,09/03/1999,"(69.643, 34.627, 17.905)",1140,54,159,1829
1,TopM_Q9JXF7,1,2,5,1,3,544,2021,09/03/1999,"(6.585, 20.636, 63.927)",1140,54,159,1829
1,TopM_Q5F5C2,1,2,5,1,3,534,2021,09/03/1999,"(16.481, 7.419, 53.784)",1140,54,159,1829
1,TopM_Q8Z6Q3,1,2,7,1,35,594,2021,21/05/2004,"(2.794, -2.601, 8.056)",4737,23,148,1370
1,TopM_Q729U4,1,2,1,1,148,313,2021,25/07/2005,"(-79.892, 47.877, -2.608)",4197,50,269,1813
1,TopM_Q3SZM9,1,2,7,1,59,438,2021,13/03/2006,"(82.527, 74.957, 33.102)",2891,23,148,2071
1,TopM_P81799,1,2,7,1,59,425,2021,13/03/2006,"(118.495, 104.398, 71.198)",2891,23,148,2071
1,TopM_Q9UJ70,1,2,7,1,59,421,2021,13/03/2006,"(90.4, 106.506, 68.237)",2891,23,148,2071
1,TopM_Q7CLR5,1,2,4,1,264,491,2021,04/08/2006,"(23.486, 76.974, 1.24)",4493,46,193,1358
1,TopM_Q8GCH2,1,2,4,1,264,459,2021,04/08/2006,"(24.396, 78.375, 1.44)",4493,46,193,1358
1,TopM_P15557,1,2,3,2,93,695,2021,20/10/2006,"(-0.699, 23.408, -20.865)",1887,51,203,2556
1,TopM_Q05053,1,2,3,2,93,685,2021,20/10/2006,"(10.688, 13.184, -33.32)",1887,51,203,2556
1,TopM_Q9NPI5,1,2,7,1,22,531,2021,28/02/2007,"(12.117, -31.825, -17.891)",4991,23,148,589
1,TopM_Q6AY91,1,2,7,1,22,501,2021,31/07/2007,"(9.195, -20.759, -8.038)",4991,23,148,589
1,TopM_Q9D7C9,1,2,7,1,22,503,2021,31/07/2007,"(7.446, -27.78, -14.531)",4991,23,148,589
1,TopM_Q30RL0,1,2,3,1,117,245,2021,11/10/2007,"(-24.769, 80.922, -48.96)",3504,51,54,1070
1,TopM_O25343,1,2,3,1,117,173,2021,11/10/2007,"(-13.321, 54.406, -56.057)",3504,51,54,1070
1,TopM_A6Q5J0,1,2,3,1,117,426,2021,11/10/2007,"(37.183, 23.022, -8.622)",3504,51,54,1070
1,TopM_Q58250,1,2,5,1,131,587,2021,29/02/2008,"(20.411, 74.088, 75.408)",3834,54,159,2374
1,TopM_A0R2E6,1,2,4,1,266,589,2021,15/03/2008,"(17.038, 11.149, 3.392)",228,46,193,2031
1,TopM_Q73WU1,1,2,4,1,266,615,2021,15/03/2008,"(14.087, 27.728, 14.867)",228,46,193,2031
1,TopM_Q7U0E1,1,2,4,1,266,608,2021,16/03/2008,"(15.723, 26.287, 14.806)",228,46,193,2031
1,TopM_Q5L6M0,1,2,6,1,83,557,2021,15/09/2008,"(-20.653, 41.863, 17.185)",4333,37,80,1466
1,TopM_Q253K9,1,2,6,1,83,544,2021,15/09/2008,"(-20.948, 36.191, 17.626)",4333,37,80,1466
1,TopM_Q824A4,1,2,6,1,83,550,2021,15/09/2008,"(-22.478, 40.743, 15.65)",4333,37,80,1466
1,TopM_Q4JAG1,1,2,3,1,234,528,2021,25/09/2008,"(-35.328, 37.309, 49.812)",5370,51,54,2859
1,TopM_Q975Q7,1,2,3,1,234,494,2021,25/09/2008,"(-45.973, 30.75, 54.147)",5370,51,54,2859
1,TopM_Q5V325,1,2,1,1,148,300,2021,26/12/2008,"(-84.014, 65.825, -20.589)",4197,50,269,1813
1,TopM_Q9HQ52,1,2,1,1,148,297,2021,26/12/2008,"(-73.419, 61.237, -25.53)",4197,50,269,1813
1,TopM_C8V1D1,1,2,3,1,47,504,2021,08/06/2009,"(31.994, 19.035, 24.019)",668,51,54,2433
1,TopM_A1CAU3,1,2,7,1,17,405,2021,28/01/2010,"(43.733, 27.85, 6.218)",652,23,148,140
1,TopM_C5FSW4,1,2,7,1,17,429,2021,28/01/2010,"(26.523, 6.447, 21.69)",652,23,148,140
1,TopM_Q5ASE0,1,2,7,1,17,406,2021,28/01/2010,"(5.8, 22.363, 32.302)",652,23,148,140
1,TopM_P19026,1,2,7,11,22,554,2021,29/01/2010,"(4.879, 27.463, -11.771)",1949,23,75,1860
1,TopM_O33770,1,2,6,1,9,537,2021,25/02/2010,"(50.861, 54.974, 4.134)",4868,37,80,2419
1,TopM_O62846,1,2,7,11,11,603,2021,18/08/2010,"(-15.749, -42.25, -14.11)",1254,23,75,3020
1,TopM_I7A3T6,1,2,4,1,13,635,2021,16/05/2011,"(-65.369, -157.195, 27.634)",718,46,193,480
1,TopM_D4H6M0,1,2,4,1,13,649,2021,16/05/2011,"(-73.834, -102.963, -12.466)",718,46,193,480
1,TopM_Q8DK23,1,2,4,1,13,670,2021,16/05/2011,"(-71.7, -158.481, 6.415)",718,46,193,480
1,TopM_P30078,1,2,3,1,74,458,2021,23/04/2012,"(64.097, -54.741, 10.82)",2599,51,54,762
1,TopM_P45741,1,2,5,1,2,606,2021,29/05/2013,"(14.288, -1.602, 61.154)",2514,54,159,764
1,TopM_Q46389,1,2,1,1,258,465,2021,15/12/2013,"(-23.163, 18.284, -0.987)",3614,50,269,803
1,TopM_Q970Z4,1,2,6,1,9,516,2021,03/09/2014,"(50.999, 56.317, -6.932)",4868,37,80,2419
1,TopM_P44088,1,2,7,7,n1,520,2021,15/07/2015,"(18.464, 71.773, 14.954)",2479,23,226,2994
1,TopM_Q7DDR9,1,2,7,7,n1,512,2021,15/07/2015,"(29.761, 58.728, 33.039)",2479,23,226,2994
1,TopM_P28567,1,2,7,11,22,509,2021,18/10/2016,"(-5.268, -16.025, 7.361)",1949,23,75,1860
1,TopM_P51080,1,2,3,1,74,469,2021,06/01/2017,"(-12.822, 12.821, 30.961)",2599,51,54,762
1,TopM_P51079,1,2,3,1,74,445,2021,06/01/2017,"(-34.74, 19.75, 26.919)",2599,51,54,762
1,TopM_Q8R3F5,1,2,3,1,39,620,2021,18/01/2018,"(45.295, 15.116, 36.408)",4600,51,54,2499
1,TopM_C3N752,1,2,3,1,234,588,2021,09/02/2018,"(-14.17, 68.893, 5.505)",5370,51,54,2859
1,TopM_Q920F5,1,4,1,1,9,525,2021,05/05/2012,"(-8.758, 46.296, 87.375)",4767,34,94,1392
1,TopM_P12617,1,4,1,1,9,551,2021,05/05/2012,"(-5.036, 48.67, 83.167)",4767,34,94,1392
1,TopM_O95822,1,4,1,1,9,534,2021,05/05/2012,"(-11.974, 42.428, 74.211)",4767,34,94,1392
1,TopM_Q76BS7,1,6,3,2,38,612,2021,28/04/2016,"(53.76, 82.134, 37.066)",3629,36,92,1073
1,TopM_Q47316,1,6,3,2,38,616,2021,28/04/2016,"(87.239, 83.993, 55.816)",3629,36,92,1073
1,TopM_Q8H1H9,1,1,4,3,21,580,2021,20/07/1996,"(10.546, 42.124, 33.977)",4508,42,39,2343
1,TopM_P57641,1,1,18,1,2,381,2021,06/03/1997,"(8.084, 39.454, 40.181)",2177,31,111,738
1,TopM_P28861,1,1,18,1,2,395,2021,06/03/1997,"(3.132, 23.871, 58.085)",2177,31,111,738
1,TopM_P28901,1,1,18,1,2,401,2021,06/03/1997,"(17.354, 16.831, 29.611)",2177,31,111,738
1,TopM_P00436,1,1,13,11,3,757,2021,01/07/1997,"(-36.841, -37.493, -3.962)",1878,72,207,1444
1,TopM_Q8K9W3,1,1,17,4,1,376,2021,17/09/1997,"(81.598, 14.382, -17.967)",2253,10,6,1822
1,TopM_P32282,1,1,17,4,1,375,2021,17/09/1997,"(-32.423, 82.491, 26.098)",2253,10,6,1822
1,TopM_P37426,1,1,17,4,1,363,2021,17/09/1997,"(52.37, -1.18, -22.497)",2253,10,6,1822
1,TopM_P46883,1,1,4,3,21,639,2021,15/03/1999,"(47.205, 38.423, 13.129)",4508,42,39,2343
1,TopM_P49250,1,1,4,3,21,645,2021,15/03/1999,"(34.91, 37.372, 18.679)",4508,42,39,2343
1,TopM_Q56694,1,1,2,1,4,542,2021,09/05/2000,"(21.023, 43.092, 40.292)",3800,20,69,1846
